103,Day 1- Position 1 11-26-51 v3-JT,01:00:18:23,start
103,Day 1- Position 1 11-26-51 v3-JT,01:00:39:21,end
103,Day 1- Position 2 11-27-14 v2-JT,01:00:45:20,start
103,Day 1- Position 2 11-27-14 v2-JT,01:01:03:08,end
103,Day 1- Position 3 11-27-51 v2-JT,01:01:21:10,start
103,Day 1- Position 3 11-27-51 v2-JT,01:01:37:21,1.c5+
103,Day 1- Position 3 11-27-51 v2-JT,01:01:53:14,end
103,Day 1- Position 4 11-28-19 v2-JT,01:02:01:10,start
103,Day 1- Position 4 11-28-19 v2-JT,01:02:06:09,1.c5+
103,Day 1- Position 4 11-28-19 v2-JT,01:02:36:09,1.Kxc5
103,Day 1- Position 4 11-28-19 v2-JT,01:02:27:20,1.Qxc5
103,Day 1- Position 4 11-28-19 v2-JT,01:02:30:13,2.Na4+
103,Day 1- Position 4 11-28-19 v2-JT,01:02:34:02,reset
103,Day 1- Position 4 11-28-19 v2-JT,01:02:38:12,2.Ne4+
103,Day 1- Position 4 11-28-19 v2-JT,01:02:42:11,end
103,Day 1- Position 5 11-33-02 v4-JT,01:05:27:21,start
103,Day 1- Position 5 11-33-02 v4-JT,01:05:44:12,1.Rb8
103,Day 1- Position 5 11-33-02 v4-JT,01:05:49:19,2.Rb5
103,Day 1- Position 5 11-33-02 v4-JT,01:06:15:19,2.Ba2
103,Day 1- Position 5 11-33-02 v4-JT,01:05:54:10,2.Kg8
103,Day 1- Position 5 11-33-02 v4-JT,01:05:57:19,3.Rxb1
103,Day 1- Position 5 11-33-02 v4-JT,01:06:00:08,reset
103,Day 1- Position 5 11-33-02 v4-JT,01:06:21:12,3.Rb8+
103,Day 1- Position 5 11-33-02 v4-JT,01:06:32:23,3.Bg8
103,Day 1- Position 5 11-33-02 v4-JT,01:06:38:05,end
103,Day 1- Position 6 11-35-09 v3-JT,01:07:17:22,start
103,Day 1- Position 6 11-35-09 v3-JT,01:07:41:10,4.g6
103,Day 1- Position 6 11-35-09 v3-JT,01:07:37:09,4.h6
103,Day 1- Position 6 11-35-09 v3-JT,01:07:40:00,reset
103,Day 1- Position 6 11-35-09 v3-JT,01:07:43:00,end
103,Day 1- Position 7 11-37-23 v3-JT,01:09:08:01,start
103,Day 1- Position 7 11-37-23 v3-JT,01:10:09:10,5.Rh2+
103,Day 1- Position 7 11-37-23 v3-JT,01:09:40:02,5.Rhh8
103,Day 1- Position 7 11-37-23 v3-JT,01:09:41:10,reset
103,Day 1- Position 7 11-37-23 v3-JT,01:09:42:17,5.Rah8
103,Day 1- Position 7 11-37-23 v3-JT,01:09:44:00,reset
103,Day 1- Position 7 11-37-23 v3-JT,01:09:52:02,5.Qb3#
103,Day 1- Position 7 11-37-23 v3-JT,01:09:57:13,reset
103,Day 1- Position 7 11-37-23 v3-JT,01:10:20:17,5.Kd1
103,Day 1- Position 7 11-37-23 v3-JT,01:10:27:08,6.Rxa4
103,Day 1- Position 7 11-37-23 v3-JT,01:10:37:20,6.Qd6+
103,Day 1- Position 7 11-37-23 v3-JT,01:10:53:18,7.Rb4
103,Day 1- Position 7 11-37-23 v3-JT,01:11:05:20,7.Qxh2
103,Day 1- Position 7 11-37-23 v3-JT,01:11:12:20,8.Rb1+
103,Day 1- Position 7 11-37-23 v3-JT,01:11:15:03,8.Kc2
103,Day 1- Position 7 11-37-23 v3-JT,01:11:16:21,9.Rb2+
103,Day 1- Position 7 11-37-23 v3-JT,,9.Kd3
103,Day 1- Position 7 11-37-23 v3-JT,,10.Rxh2
103,Day 1- Position 7 11-37-23 v3-JT,01:11:26:12,end
103,Day 1- Position 8 11-47-39,01:17:22:00,start
103,Day 1- Position 8 11-47-39,01:17:41:00,5.Nc7
103,Day 1- Position 8 11-47-39,01:17:47:07,5.Rxd1
103,Day 1- Position 8 11-47-39,01:17:48:15,6.Rxd1
103,Day 1- Position 8 11-47-39,01:18:13:00,end
103,Day 1- Position 9 11-56-50 v2-JT,01:22:21:10,start
103,Day 1- Position 9 11-56-50 v2-JT,01:23:21:16,6.c8=R
103,Day 1- Position 9 11-56-50 v2-JT,01:22:41:07,6.c8=Q
103,Day 1- Position 9 11-56-50 v2-JT,01:22:51:17,6.Rc4+
103,Day 1- Position 9 11-56-50 v2-JT,01:23:02:04,7.Qxc4
103,Day 1- Position 9 11-56-50 v2-JT,01:23:14:00,reset
103,Day 1- Position 9 11-56-50 v2-JT,01:23:42:00,6.Ra4
